?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0043603>	"The chemical reactions and pathways involving an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group, as carried out by individual cells."	
<http://purl.obolibrary.org/obo/CHEBI_26347>	"The family of natural prostaglandins and prostaglandin-like compounds including prostacyclins and thromboxanes."	
<http://purl.obolibrary.org/obo/ECTO_9001349>	"An exposure to sodium nitroprusside."	
<http://purl.obolibrary.org/obo/CHEBI_23843>		
<http://purl.obolibrary.org/obo/ECTO_9000969>	"An exposure to allyl alcohol."	
<http://purl.obolibrary.org/obo/CDNO_0200735>	"The concentration of stilbenol when measured in some material entity."	
<http://purl.obolibrary.org/obo/CDNO_0200536>	"The concentration of D3 vitamins when measured in some material entity."	"USDA_NDB:1112"
<http://purl.obolibrary.org/obo/ECTO_8000012>	"A exposure event involving the interaction of an exposure receptor to tsunami."	
<http://purl.obolibrary.org/obo/ECTO_9001479>	"An exposure to octane."	
<http://purl.obolibrary.org/obo/CHEBI_35276>	"Compounds (NH4(+))Y(-) and derivatives, in which one or more of the hydrogens bonded to nitrogen have been replaced with univalent groups."	
<http://purl.obolibrary.org/obo/ECTO_0500019>	"A exposure event involving the interaction of an exposure receptor to acrylic paint medium."	
<http://purl.obolibrary.org/obo/GO_0016116>	"The chemical reactions and pathways involving carotenoids, tetraterpenoid compounds in which two units of 4 isoprenoid residues joined head-to-tail are themselves joined tail-to-tail."	
<http://purl.obolibrary.org/obo/CHEBI_37631>	"A L-glucopyranose with a beta-configuration at the anomeric position."	"Reaxys:1907373 Beilstein:1907373 GlyGen:G59396XU GlyTouCan:G59396XU"
<http://purl.obolibrary.org/obo/PO_0028002>	"A whole plant development stage (PO:0007033) that has as primary participant a whole plant (PO:0000003) during the interval between fertilization (or apogamy) and death."	"PO_GIT:68 PO_GIT:139"
<http://purl.obolibrary.org/obo/CHEBI_39181>		"Beilstein:1853934"
<http://purl.obolibrary.org/obo/CHEBI_22644>		
<http://purl.obolibrary.org/obo/CHEBI_83427>	"An enamide resulting from the formal condensation of (2Z)-3-(4-chlorophenyl)-3-(3,4-dimethoxyphenyl)acrylic acid with the amino group of morpholine. The agricultural fungicide dimethomorph is a mixture of (E)- and (Z)-dimethomorph; only the Z isomer has fungicidal activity."	"PMID:12033804 PMID:20623489 CAS:113210-98-3 Reaxys:11343579 PMID:23496017 PMID:22902184"
<http://purl.obolibrary.org/obo/ECTO_9001311>	"An exposure to silver molecular entity."	
<http://purl.obolibrary.org/obo/FOODON_00002515>	"Carrot cake is a cake that contains carrots mixed into the batter."@en	
<http://purl.obolibrary.org/obo/CHEBI_83375>	"An enoate ester obtained by formal condensation of the carboxy group of 3-methylacrylic acid with the phenolic hydroxy group of 2,4-dinitro-6-(octan-2-yl)phenol."	"PPDB:439"
<http://purl.obolibrary.org/obo/CHEBI_45863>	"A tetracyclic diterpenoid isolated originally from the bark of the Pacific yew tree, Taxus brevifolia. It is a mitotic inhibitor used in cancer chemotherapy. Note that the use of the former generic name 'taxol' is now limited, as Taxol is a registered trade mark."	"DrugBank:DB01229 KEGG:C07394 KNApSAcK:C00002365 Drug_Central:2044 PDBeChem:TA1 CAS:33069-62-4 Wikipedia:Paclitaxel KEGG:D00491"
<http://purl.obolibrary.org/obo/CHEBI_50176>	"A drug that softens, separates, and causes desquamation of the cornified epithelium or horny layer of skin. Keratolytic drugs are used to expose mycelia of infecting fungi or to treat corns, warts, and certain other skin diseases."	
<http://purl.obolibrary.org/obo/CHEBI_134441>	"A nanoparticle composed of any titanium oxide."	
<http://purl.obolibrary.org/obo/ECTO_9001627>	"An exposure to inorganic acid."	
<http://purl.obolibrary.org/obo/ECTO_9001331>	"An exposure to 1,2,3,4,6,7,8-Heptachlorodibenzofuran."	
<http://purl.obolibrary.org/obo/CHEBI_26115>	"A toxin made by a plant that acts against an organism attacking it."	
<http://purl.obolibrary.org/obo/GAZ_00002459>	"A federal constitutional republic comprising fifty states and a federal district. The country is situated mostly in central North America, where its forty-eight contiguous states and Washington, DC, the capital district, lie between the Pacific and Atlantic Oceans, bordered by Canada to the north and Mexico to the south. The State of Alaska is in the northwest of the continent, with Canada to its east and Russia to the west across the Bering Strait, and the State of Hawaii is in the mid-Pacific. The United States also possesses several territories, or insular areas, that are scattered around the Caribbean and Pacific. The states are divided into smaller administrative regions, called counties in most states, exceptions being Alaska (parts of the state are organized into subdivisions called boroughs; the rest of the state's territory that is not included in any borough is divided into \"census areas\"), and Louisiana (which is divided into county-equivalents that are called parishes). There are also independent cities which are within particular states but not part of any particular county or consolidated city-counties. Another type of organization is where the city and county are unified and function as an independent city. There are thirty-nine independent cities in Virginia and other independent cities or city-counties are San Francisco, California, Baltimore, Maryland, St. Louis, Missouri, Denver, Colorado and Carson City, Nevada. Counties can include a number of cities, towns, villages, or hamlets, or sometimes just a part of a city. Counties have varying degrees of political and legal significance, but they are always administrative divisions of the state. Counties in many states are further subdivided into townships, which, by definition, are administrative divisions of a county. In some states, such as Michigan, a township can file a charter with the state government, making itself into a \"charter township\", which is a type of mixed municipal and township status (giving the township some of the rights of a city without all of the responsibilities), much in the way a metropolitan municipality is a mixed municipality and county."	"http://www.langual.org/langual_thesaurus.asp?termid=R0413"
<http://purl.obolibrary.org/obo/ECTO_9001258>	"An exposure to sulfuryl difluoride."	
<http://purl.obolibrary.org/obo/CHEBI_76823>	"An EC 6.3.* (C-N bond-forming ligase) inhibitor that interferes with the action of any acid-ammonia (or amine) ligase (EC 6.3.1.*)."	
<http://purl.obolibrary.org/obo/FOODON_00002282>		
<http://purl.obolibrary.org/obo/GO_0016070>	"The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."	
<http://purl.obolibrary.org/obo/CHEBI_15377>	"An oxygen hydride consisting of an oxygen atom that is covalently bonded to two hydrogen atoms"	"CAS:7732-18-5 MetaCyc:WATER Gmelin:117 KEGG:D00001 MolBase:1 PDBeChem:HOH Reaxys:3587155 Wikipedia:Water HMDB:HMDB0002111 KEGG:C00001 Beilstein:3587155"
<http://purl.obolibrary.org/obo/CHEBI_35363>	"A hydrazide consisting of hydrazine carrying one or more carboacyl groups."	
<http://purl.obolibrary.org/obo/ENVO_01000451>	"Atmospheric carbon dioxide is an environmental material composed of carbon dioxide in its gaseous form present in an atmosphere."	
<http://purl.obolibrary.org/obo/ENVO_01001087>	"A process during which an aerosol, consisting of droplets of liquid suspended in gas, is formed in an atmosphere."	
<http://purl.obolibrary.org/obo/ECTO_9000627>	"An exposure to fenobucarb."	
<http://purl.obolibrary.org/obo/CHEBI_39180>		"Gmelin:164455 Beilstein:1756640"
<http://purl.obolibrary.org/obo/NBO_0045000>	"Any habitual use of the tobacco plant leaf and its products."	
<http://purl.obolibrary.org/obo/PO_0025025>	"A collective plant organ structure (PO:0025007) that produces root meristems (PO:0006085), the plant structures (PO:0009011) that arise from them and the parts thereof."	"PO_GIT:136"
<http://purl.obolibrary.org/obo/FOODON_00001083>		
<http://purl.obolibrary.org/obo/CHEBI_38323>	"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."	
<http://purl.obolibrary.org/obo/ECTO_9002007>	"An exposure to EC 2.3.1.85 (fatty acid synthase) inhibitor."	
<http://purl.obolibrary.org/obo/FOODON_00001635>	"A bean vegetable food product is a human or animal food product - such as a snap, shell or dry bean product - derived from the fruit pod, seed, or leaf of one of several genera of the flowering plant family Fabaceae."@en	
<http://purl.obolibrary.org/obo/CHEBI_27780>	"A surfactant (or a mixture containing one or more surfactants) having cleaning properties in dilute solutions."	"KEGG:C01689"
<http://purl.obolibrary.org/obo/FOODON_00003944>	"A prepared coffee beverage in which the majority of the beverage volume is composed of mammalian milk or a milk component."@en	
<http://purl.obolibrary.org/obo/FOODON_03315081>	"An aromatic beverage commonly prepared by pouring hot or boiling water over cured leaves of the Camellia sinensis, an evergreen shrub (bush) native to East Asia."@en	"SUBSET_SIREN:F15081"
<http://purl.obolibrary.org/obo/ENVO_01000895>	"A hydrological process in which irregular aggregates of snow fall to the surface of an astronomical body."	"http://sweetontology.net/phenAtmoPrecipitation/Snowfall"
<http://purl.obolibrary.org/obo/CHEBI_32807>	"A dihydroxybenzoic acid that is 2,4-dihydroxybenzoic acid in which the hydrogen at position 6 is replaced by a methyl group."	"PMID:4399350 LIPID_MAPS_instance:LMPK13010001 PMID:5311576 Beilstein:2211027 Wikipedia:Orsellinic_acid MetaCyc:CPD-47 PMID:19666480 LINCS:LSM-20972 PMID:21879714 Reaxys:2211027 PMID:13869400 KNApSAcK:C00000487 PDBeChem:6X7 PMID:25537370 CAS:480-64-8 PMID:20630753 KEGG:C01839 PMID:20174687"
<http://purl.obolibrary.org/obo/ENVO_03000127>	"A water-based rainfall process during which water droplets with increased acidity fall towards a planetary surface."	
<http://purl.obolibrary.org/obo/NCBITaxon_1437183>		"PMID:25249442 GC_ID:1"
<http://purl.obolibrary.org/obo/CHEBI_37750>		
<http://purl.obolibrary.org/obo/FOODON_03301704>		"SUBSET_SIREN:F1704"
<http://purl.obolibrary.org/obo/NPO_1737>		
<http://purl.obolibrary.org/obo/CHEBI_26979>	"An organic tricyclic compound in which at least one of the rings of the tricyclic skeleton contains one or more heteroatoms."	
<http://purl.obolibrary.org/obo/CHEBI_33216>	"A bisphenol that is 4,4'-methanediyldiphenol in which the methylene hydrogens are replaced by two methyl groups."	"PMID:16904728 PMID:25663485 PMID:25569640 PDBeChem:2OH PMID:11361040 PMID:12860292 UM-BBD_compID:c0764 PMID:25042713 HMDB:HMDB0032133 KEGG:C13624 Reaxys:1107700 PMID:10593191 PMID:24471646 LINCS:LSM-37080 PMID:15936980 CAS:80-05-7 Wikipedia:Bisphenol_A PMID:25637671 DrugBank:DB06973 PMID:25148994 PMID:25524584"
<http://purl.obolibrary.org/obo/ECTO_9000757>	"An exposure to lenacil."	
<http://purl.obolibrary.org/obo/CHEBI_76808>	"An EC 3.5.* (hydrolases acting on non-peptide C-N bonds) inhibitor that interferes with the action of any non-peptide cyclic amide C-N hydrolase (EC 3.5.2.*)."	
<http://purl.obolibrary.org/obo/CDNO_0000024>	"Fluorine ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts"@en	
<http://purl.obolibrary.org/obo/CHEBI_24469>	"A halohydrocarbon that is an alkane in which at least one hydrogen atom has been replaced by with a halogen atom."	
<http://purl.obolibrary.org/obo/CHEBI_38956>		
<http://purl.obolibrary.org/obo/ECTO_0070179>	"An exposure to red onion (whole, raw) via ingestion."	
<http://purl.obolibrary.org/obo/CHEBI_64268>	"An erythromycin cation that is the conjugate acid of erythromycin A, arising from protonation of the tertiary amino group on the 3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranosyl residue; major species at pH 7.3."	"MetaCyc:CPD-13804"
<http://purl.obolibrary.org/obo/ENVO_03510061>	"A colorant fluid which is 1) manufactured and 2) primarily composed of soybean oil, as well as pigment, resin, and wax."@en	
<http://purl.obolibrary.org/obo/CHEBI_26961>	"Compounds containing at least one thiophene ring."	
<http://purl.obolibrary.org/obo/CHEBI_16374>	"Any member of the class of menaquinones that is 2-methyl-1,4-naphthoquinone with an unsaturated isoprenoid chain at the 3-position."	"CAS:11032-49-8 Wikipedia:Vitamin_K2 KEGG:C00828"
<http://purl.obolibrary.org/obo/CHEBI_131860>	"An unsaturated fatty acid anion obtained by the deprotonation of the carboxy group of any octadecanoid."	
<http://purl.obolibrary.org/obo/GO_0008291>	"The chemical reactions and pathways involving acetylcholine, the acetic acid ester of the organic base choline. Acetylcholine is a major neurotransmitter and neuromodulator both in the central and peripheral nervous systems. It also acts as a paracrine signal in various non-neural tissues."	
<http://purl.obolibrary.org/obo/ECTO_9000432>	"An exposure to 1-(3,5-dichloro-2,6-dihydroxy-4-methoxyphenyl)hexan-1-one."	
<http://purl.obolibrary.org/obo/ECTO_9001605>	"An exposure to sulfotep."	
<http://purl.obolibrary.org/obo/CHEBI_36026>	"A member of the class of  chloroethanes that is ethane substituted by chloro groups at positions 1, 1, 2 and 2."	"Wikipedia:1,1,2,2-Tetrachloroethane Reaxys:969206 PMID:18830144 Beilstein:969206 CAS:79-34-5 PMID:6767185 Gmelin:184809 KEGG:C19534 MetaCyc:1122-TETRACHLOROETHANE"
<http://purl.obolibrary.org/obo/CHEBI_17688>	"A 3-(1-methylpyrrolidin-2-yl)pyridine in which the chiral centre has S-configuration. The naturally occurring and most active enantiomer of nicotine, isolated from Nicotiana tabacum."	"KNApSAcK:C00002057 PMID:14761239 PDBeChem:NCT PMID:11322615 PMID:28710519 PMID:28735272 Beilstein:82109 PMID:16059663 PMID:22331007 PMID:16496293 PMID:19100331 PMID:18380035 PMID:28686840 PMID:28678400 PMID:18383130 PMID:28698187 PMID:21947355 PMID:22459798 PMID:12971663 PMID:22530136 PMID:15707677 PMID:16333621 PMID:22030716 PMID:15276225 PMID:12575980 PMID:11768184 PMID:15902919 PMID:21822688 PMID:22265518 PMID:15019421 PMID:15826609 PMID:15734728 PMID:15502843 PMID:19465085 PMID:17504235 PMID:13590907 CAS:54-11-5 PMID:19389046 PMID:22529223 PMID:28726253 KEGG:C00745 PMID:17683794 Wikipedia:Nicotine PMID:11719700 PMID:19100291 PMID:21945235 Reaxys:82109 PMID:17560039 PMID:14674846 PMID:17498763 PMID:28391535 Beilstein:3604351 PMID:15963341 PMID:17206646 PMID:16370520 PMID:28700952 PMID:28641297 PMID:15894687 PMID:15251917 PMID:12692774 PMID:28574230 PMID:28711472 PMID:19287496 PMID:17023324 KEGG:D03365 PMID:11821649 PMID:15527885 PMID:16212709 PMID:28718828 PMID:11851194 PMID:17525204 PMID:21636612 PMID:19448649 PMID:28718768 PMID:18685152 PMID:18922921 MetaCyc:NICOTINE HMDB:HMDB0001934 PMID:15027713 PMID:15960296 PMID:28704277 PMID:12850578 PMID:17350101 PMID:18683238 PMID:28714396 PMID:15380834 PMID:27951416 PMID:17292347 DrugBank:DB00184 PMID:22129149 PMID:11209966 PMID:12769614 PMID:22218403 BPDB:485 LINCS:LSM-2093 PMID:22377934 PMID:28187919 PMID:18490768 PMID:18805442 PMID:28683421 PMID:19954906 Drug_Central:1920 PMID:19850423 PMID:21521420 PMID:11406005 PMID:14975706"
<http://purl.obolibrary.org/obo/CHEBI_33708>	"When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue."	
<http://purl.obolibrary.org/obo/CHEBI_16991>	"High molecular weight, linear polymers, composed of nucleotides containing deoxyribose and linked by phosphodiester bonds; DNA contain the genetic information of organisms."	"CAS:9007-49-2 KEGG:C00039"
<http://purl.obolibrary.org/obo/CHEBI_38124>	"Any aldehyde with two aldehyde groups."	
<http://purl.obolibrary.org/obo/ECTO_9000939>	"An exposure to antimony molecular entity."	
<http://purl.obolibrary.org/obo/CHEBI_29865>	"An ortho- and peri-fused polycyclic arene consisting of five fused benzene rings."	"PMID:26530167 LINCS:LSM-2198 PMID:11932001 Gmelin:262573 Beilstein:1911333 PMID:7561049 CAS:50-32-8 PMID:7721048 PMID:26703252 PMID:16381670 KEGG:C07535 Wikipedia:Benzo(a)pyrene Reaxys:1911333 PMID:16256111 PMID:1844333"
<http://purl.obolibrary.org/obo/NPO_1738>		
<http://purl.obolibrary.org/obo/CHEBI_22707>	"A triol in which three hydroxy groups are substituted onto a benzene ring."	
<http://purl.obolibrary.org/obo/CHEBI_81981>	"A member of the class of phenylureas that is urea in which one of the nitrogens is substituted by two methyl groups while the other is substituted by a 3-chloro-4-methylphenyl group. A herbicide that is non-toxic to honeybees but moderately toxic to mammals, birds, earthworms and most aquatic organisms."	"KEGG:C18817 PPDB:151 Wikipedia:Chlortoluron Pesticides:chlorotoluron Reaxys:2647688 CAS:15545-48-9 PMID:22927226 PMID:23819841 PMID:24485315"
<http://purl.obolibrary.org/obo/CHEBI_39053>		"Beilstein:6480945"
<http://purl.obolibrary.org/obo/ECTO_9000686>	"An exposure to (Z)-thiacloprid."	
<http://purl.obolibrary.org/obo/ECTO_9000546>	"An exposure to sulfapyridine."	
<http://purl.obolibrary.org/obo/CDNO_0200068>	"The concentration of lipid when measured in some material entity."	"USDA_NDB:1004 INFOODs:FATPL"
<http://purl.obolibrary.org/obo/CHEBI_39187>		"Beilstein:105723 CAS:3034-52-4"
<http://purl.obolibrary.org/obo/CHEBI_39054>		
<http://purl.obolibrary.org/obo/CHEBI_78049>	"A fatty acid anion containing 18 carbons and one double bond. Formed by deprotonation of the carboxylic acid group. Major species at pH 7.3."	
<http://purl.obolibrary.org/obo/PATO_0001842>	"A concentration quality inhering in a bearer by virtue of the bearer's containing acid (hydrogen ions)."	
<http://purl.obolibrary.org/obo/CHEBI_32362>	"A medium-chain fatty acid anion that is the conjugate base of heptanoic acid; shown in myocardial ischaemia/reperfusion studies to increase levels of C4 Kreb's cycle intermediates."	"Reaxys:3903940 MetaCyc:CPD-7619 Beilstein:3903940 Gmelin:327115 CAS:7563-37-3 PMID:16141384"
<http://purl.obolibrary.org/obo/CHEBI_15693>	"Aldehydic parent sugars (polyhydroxy aldehydes H[CH(OH)]nC(=O)H, n >= 2) and their intramolecular hemiacetals."	"Wikipedia:Aldose KEGG:C01370"
<http://purl.obolibrary.org/obo/CHEBI_27789>	"A member of the class of chloroethanes substituted by two chloro groups at positions 1 and 2."	"UM-BBD_compID:c0001 PMID:17564600 KEGG:C06752 MetaCyc:12-DICHLOROETHANE Reaxys:605264 PMID:33047531 PMID:24228488 PPDB:2774 Gmelin:49272 PMID:24329990 CAS:107-06-2 HMDB:HMDB0029571 PMID:18579268 DrugBank:DB03733 PMID:24441515 PMID:32830330 Beilstein:605264 Wikipedia:1,2-Dichloroethane PDBeChem:DCE PMID:31520740"
<http://purl.obolibrary.org/obo/ECTO_7000084>	"A exposure event involving the interaction of an exposure receptor to petroleum enriched sediment."	
<http://purl.obolibrary.org/obo/CHEBI_50844>		
<http://purl.obolibrary.org/obo/ECTO_9000842>	"An exposure to secbumeton."	
<http://purl.obolibrary.org/obo/ECTO_9000696>	"An exposure to atorvastatin."	
<http://purl.obolibrary.org/obo/CHEBI_90710>	"A drug that acts as an antagonist, agonist, reverse agonist, or in some other fashion when interacting with cellular receptors."	
<http://purl.obolibrary.org/obo/ECTO_4000030>	"A exposure event involving the interaction of an exposure receptor to decreased amount of temperature of soil."	
<http://purl.obolibrary.org/obo/CHEBI_26666>	"An aliphatic monocarboxylic acid with a chain length of less than C6. If any non-hydrocarbon substituent is present, the compound is not normally regarded as a short-chain fatty acid."	"PMID:20148677 PMID:18203540 PMID:16633129 PMID:16870803"
<http://purl.obolibrary.org/obo/CHEBI_79323>	"A benzoate ester that is an ester of 4-hydroxybenzoic acid."	
<http://purl.obolibrary.org/obo/MAXO_0000288>	"Treatment with an agent to modify progestin action."	
<http://purl.obolibrary.org/obo/FOODON_00001256>	"A dairy food product has mammilian milk or a milk component as an ingredient."@en	"http://www.langual.org/langual_thesaurus.asp?termid=H0242"
<http://purl.obolibrary.org/obo/CDNO_0200517>	"The concentration of inulin derived from fructan when measured in some material entity."	"INFOODs:INULN USDA_NDB:1403"
<http://purl.obolibrary.org/obo/ENVO_00002984>	"A naturally occurring flammable liquid consisting of a complex mixture of hydrocarbons of various molecular weights and other liquid organic compounds, that are found in geologic formations beneath the planetary surfaces."	"https://en.wikipedia.org/wiki/Petroleum"
<http://purl.obolibrary.org/obo/FOODON_03301702>		"SUBSET_SIREN:F1702"
<http://purl.obolibrary.org/obo/NPO_1735>		
<http://purl.obolibrary.org/obo/CHEBI_39141>	"A molecular entity capable of donating a hydron to an acceptor (Bronsted base)."	
<http://purl.obolibrary.org/obo/NCBITaxon_8492>		
<http://purl.obolibrary.org/obo/CHEBI_33447>	"Any monosaccharide containing an alcoholic hydroxy group esterified with phosphoric acid."	"KEGG:C00934 PMID:18186488"
<http://purl.obolibrary.org/obo/ENVO_00000114>	"A field which is located on land and used for agricultural purposes, such as the grazing of livestock or the cultivation of crops."	"EcoLexicon:field Geonames:L.FLD TGN:21456 SWEETRealm:Field FTT:61 FTT:45"
<http://purl.obolibrary.org/obo/CHEBI_33443>		
<http://purl.obolibrary.org/obo/CHEBI_39186>		"KEGG:C18513 Beilstein:8491021 CAS:153719-23-4"
<http://purl.obolibrary.org/obo/CHEBI_72774>	"An EC 1.3.99.* (oxidoreductase acting on donor CH-CH group with other acceptors) inhibitor that interferes with the action of phytoene desaturase (zeta-carotene-forming), EC 1.3.99.29, an enzyme of carotenoid biosynthesis that converts phytoene into zeta-carotene (zeta-carotene) via the symmetrical introduction of two double bonds at the C-11 and C-11' positions of phytoene."	
<http://purl.obolibrary.org/obo/ECTO_9001098>	"An exposure to 2,6-dinitrotoluene."	
<http://purl.obolibrary.org/obo/CHEBI_7823>	"A 1,4-benzodiazepinone that is 1,3-dihydro-2H-1,4-benzodiazepin-2-one substituted by a chloro group at position 7, a hydroxy group at position 3 and phenyl group at position 5."	"PMID:9811432 Patent:CN1543961 Reaxys:754065 DrugBank:DB00842 Wikipedia:Oxazepam KEGG:C07359 CAS:604-75-1 KEGG:D00464 Drug_Central:2015 PMID:17456431 HMDB:HMDB0014980"
<http://purl.obolibrary.org/obo/ECTO_9001953>	"An exposure to flour treatment agent."	
<http://purl.obolibrary.org/obo/CHEBI_78787>	"Any organic acid in which both oxygens of a carbamic acid have been replaced by sulfur."	
<http://purl.obolibrary.org/obo/CHEBI_49205>	"Any inhibitor of cholesterylester transfer protein (CETP), which transfers cholesterol from high density lipoproteins (HDL, the 'good' cholesterol-containing particles) to low or very low density lipoproteins (LDL or VLDL, the 'bad' cholesterol-containing particles). Inhibition of this process results in higher HDL levels and lower LDL levels. CETP inhibitors are under investigation as potential drugs to reduce the risk of arteriosclerotic vascular disease (atherosclerosis)."	"Wikipedia:CETP_inhibitor"
<http://purl.obolibrary.org/obo/CHEBI_26340>		
<http://purl.obolibrary.org/obo/CDNO_0200376>	"The concentration of genistein when measured in some material entity."	"INFOODs:GNSTEIN"
<http://purl.obolibrary.org/obo/NPO_1736>		
<http://purl.obolibrary.org/obo/ECTO_9002142>	"An exposure to epoxy group."	
<http://purl.obolibrary.org/obo/CHEBI_38820>		
<http://purl.obolibrary.org/obo/ECTO_9000700>	"An exposure to azoxystrobin."	
<http://purl.obolibrary.org/obo/ENVO_01001414>	"A cloud which 1) has been shaped into rising mounds, domes, or towers with a bulging upper part resembling a cauliflower and a near horizontal or ragged base, 2) is mainly composed of water droplets, 3) is located in the low level of the atmosphere (low étage)."@en	
<http://purl.obolibrary.org/obo/FOODON_03311540>		"SUBSET_SIREN:F11540"
<http://purl.obolibrary.org/obo/CHEBI_26878>	"A tertiary alcohol is a compound in which a hydroxy group, -OH, is attached to a saturated carbon atom which has three other carbon atoms attached to it."	
<http://purl.obolibrary.org/obo/CHEBI_16503>		"UM-BBD_compID:c0745 KEGG:C01528 CAS:7783-07-5"
<http://purl.obolibrary.org/obo/ECTO_9001056>	"An exposure to 2,4-DB."	
<http://purl.obolibrary.org/obo/ECTO_0001591>	"An exposure event involving Occupation"	
<http://purl.obolibrary.org/obo/FOODON_00001264>	"A one-celled fruit (pod) usually dehiscing down both sutures, and having the seed attached along a ventral suture. (Roubik 1995)"	
<http://purl.obolibrary.org/obo/CHEBI_63114>	"An agonist that binds to and activates sphingosine 1-phosphate receptors."	
<http://purl.obolibrary.org/obo/PCO_0000031>	"A material entity that is one or more organisms, viruses or viroids."	
<http://purl.obolibrary.org/obo/ENVO_03510064>	"An environmental material which is composed primarily of gases and particles produced by the combustion of petroleum fuels."@en	
<http://purl.obolibrary.org/obo/ECTO_9001591>	"An exposure to 2-nitronaphthalene."	
<http://purl.obolibrary.org/obo/ECTO_0001152>	"An exposure to organochlorine compound."	
<http://purl.obolibrary.org/obo/FOODON_03301119>	"Whole wheat bread or wholemeal bread is a type of bread made using flour that is partly or entirely milled from whole or almost-whole wheat grains."@en	"SUBSET_SIREN:F1119"
<http://purl.obolibrary.org/obo/CHEBI_87061>	"Compounds that contain a carbamate ester moiety as a key feature of their structure and which have been used as fungicides."	
<http://purl.obolibrary.org/obo/ECTO_9000485>	"An exposure to polyamine macromolecule."	
<http://purl.obolibrary.org/obo/ECTO_9000280>	"An exposure to streptomycin."	
<http://purl.obolibrary.org/obo/CHEBI_28304>	"A highly sulfated linear glycosaminoglycan comprising complex patterns of uronic acid-(1->4)-D-glucosamine repeating subunits. Used as an injectable anticoagulant, it has the highest negative charge density of any known biological molecule."	"PMID:16860191 KEGG:D07510 DrugBank:DB01109 Wikipedia:Heparin PMID:18809206 CAS:9005-49-6 PMID:8713797 KEGG:C00374"
<http://purl.obolibrary.org/obo/ENVO_09000025>	"The concentration of a gravel when measured in soil."	
<http://purl.obolibrary.org/obo/FOODON_03420164>	"Anatomical part of an animal; includes eggs and milk that, although separated from the animal, are produced as integral parts and are affected by the animal's food intake and metabolism."@en	"http://www.langual.org/langual_thesaurus.asp?termid=C0164"
<http://purl.obolibrary.org/obo/CHEBI_33570>		
<http://purl.obolibrary.org/obo/ECTO_2000008>	"An exposure to antiarrythmic agent therapy."	
<http://purl.obolibrary.org/obo/ENVO_01000306>	"An aquatic environment which is determined by freshwater."	
<http://purl.obolibrary.org/obo/ECTO_0070173>	"An exposure to resveratrol supplement via ingestion."	
<http://purl.obolibrary.org/obo/FOODON_03400118>	"A substance having greater than 2% of the caloric value of sucrose per equivalent unit of sweetening capacity. For example, the amount of such subtance having the sweetening capacity of 1 teaspoon of sucrose would have more than 0.4 calories (21 CFR 170.3(o)(21))."@en	"http://www.langual.org/langual_thesaurus.asp?termid=A0118"
<http://purl.obolibrary.org/obo/CDNO_0200451>	"The concentration of glycerol when measured in some material entity."	"INFOODs:GLYRL"
<http://purl.obolibrary.org/obo/CHEBI_39931>	"A mononitrotoluene carrying a nitro group at position 3."	"Wikipedia:3-Nitrotoluene PMID:23212174 PMID:23250222 Reaxys:1906910 KEGG:C19486 PDBeChem:3NT Beilstein:1906910 Gmelin:279176 CAS:99-08-1"
<http://purl.obolibrary.org/obo/CHEBI_17489>	"A 3',5'-cyclic purine nucleotide having having adenine as the nucleobase."	"Beilstein:52645 PMID:16295522 CAS:60-92-4 KEGG:C00575 PMID:22770225 DrugBank:DB02527 PDBeChem:CMP Wikipedia:Cyclic_AMP HMDB:HMDB0000058 KNApSAcK:C00001497 PMID:18372334 Reaxys:52645 MetaCyc:CAMP"
<http://purl.obolibrary.org/obo/NPO_1733>		
<http://purl.obolibrary.org/obo/CHEBI_23482>	"Any alicyclic ketone based on a cyclohexane skeleton and its substituted derivatives thereof."	
<http://purl.obolibrary.org/obo/FOODON_00003940>	"A soft drink that contains caffeine."@en	
<http://purl.obolibrary.org/obo/ECTO_9001501>	"An exposure to sulfur hexafluoride."	
<http://purl.obolibrary.org/obo/ECTO_9001764>	"An exposure to EC 2.7.11.13 (protein kinase C) inhibitor."	
<http://purl.obolibrary.org/obo/GO_1901073>	"The chemical reactions and pathways resulting in the formation of glucosamine-containing compounds (glucosamines)."	
<http://purl.obolibrary.org/obo/CHEBI_16389>	"Any benzoquinone derived from 2,3-dimethoxy-5-methylbenzoquinone; one of a group of naturally occurring homologues. The redox-active quinoid moiety usually carries a polyprenoid side chain at position 6, the number of isoprenoid units in which is species-specific. Ubiquinones are involved in the control of mitochondrial electron transport, and are also potent anti-oxidants."	
<http://purl.obolibrary.org/obo/GO_0008289>	"Binding to a lipid."	
